Asset Type,Underlying Symbol,Description,Expiration,Days to Expiration,Strike Price,Call/Put,Quantity,Delta,Theta,Cost,Net Liq,Gain,Today
STOCK,AAPL,APPLE INC COM,,,,,768.486,768.486,0,84215.52965694001,82523.86910999999,-1691.6605469400238,1164.2562899999757
OPTION,AAPL,(168d) 100.0 Call,1/20/2017,168,100,Call,-1,-68.40165,1.6274522999999999,-894.9999999999999,-1085.0000000000002,-190.00000000000034,-125.00000000000023
OPTION,AAPL,(168d) 95.0 Call,1/20/2017,168,95,Call,-1,-77.59463,1.4027125999999999,-1269,-1457.5,-188.5,-135
OPTION,AAPL,(168d) 135.0 Put,1/20/2017,168,135,Put,-4,396.11602,1.528994,-16144,-11269.999999999998,4874.000000000002,620.0000000000018
OPTION,AAPL,(14d) 105.0 Put,8/19/2016,14,105,Put,-1,24.480373,4.1428115000000005,-890,-53.5,836.5,39.5
OPTION,AAPL,(14d) 110.0 Put,8/19/2016,14,110,Put,-3,229.61889000000002,12.1840128,-3915.0000000000005,-915,3000.0000000000005,367.5
STOCK,APA,APACHE CORP COM,,,,,100,100,0,7500,4946.5,-2553.5,-71.5
STOCK,GREK,GLOBAL X FUNDS MSCI GREECE ETF,,,,,200,200,0,2197.98,1410,-787.98,-20
STOCK,NCV,ALLIANZGI CONV & INCOME FUND COM,,,,,18.615,18.615,0,107.78900336999999,125.09279999999998,17.303796629999994,2.04764999999999
STOCK,NCZ,ALLIANZGI CONV & INC FUND II COM,,,,,916.378,916.378,0,4432.711909002,5214.19082,781.4789109980002,9.16377999999986
STOCK,TWTR,TWITTER INC COM,,,,,400,400,0,11530.9,7312,-4218.9,60
OPTION,TWTR,(14d) 15.0 Call,8/19/2016,14,15,Call,-1,-97.48112599999999,0.42120656,-276,-327.50000000000006,-51.50000000000006,-17.500000000000057
OPTION,ATVI,(14d) 39.0 Put,8/19/2016,14,39,Put,-1,22.875649,2.394252,-82,-30.5,51.5,49
OPTION,FEYE,(14d) 15.5 Put,8/19/2016,14,15.5,Put,-1,64.546305,2.2253608000000002,-66,-114.99999999999999,-48.999999999999986,-49.499999999999986
OPTION,FEYE,(14d) 16.0 Put,8/19/2016,14,16,Put,-1,74.08732,1.9283878,-81,-151,-70,-71
OPTION,GLD,(14d) 135.0 Call,8/19/2016,14,135,Call,-1,-4.0812828,1.2906404999999999,-87,-6.5,80.5,17.5
OPTION,GLD,(14d) 138.0 Call,8/19/2016,14,138,Call,1,1.8613582,-0.7783281000000001,52,3,-49,-5
OPTION,GLD,(14d) 122.0 Put,8/19/2016,14,122,Put,1,-6.920924,-1.8768357,65,12,-53,6.5
OPTION,GLD,(14d) 125.0 Put,8/19/2016,14,125,Put,-1,22.631852,3.7425973,-144,-47,97,-28.5
OPTION,HLF,(14d) 70.0 Call,8/19/2016,14,70,Call,-1,-24.539150000000003,4.4863295,-505,-56.00000000000001,449,37.99999999999999
OPTION,QQQ,(14d) 113.0 Put,8/19/2016,14,113,Put,-2,22.67271,4.3702060000000005,-346,-35,311,37
OPTION,QQQ,(42d) 113.0 Put,9/16/2016,42,113,Put,2,-51.469027999999994,-4.6068416,532,189,-343,-65
OPTION,SPY,(168d) 224.0 Put,1/20/2017,168,224,Put,1,-63.031304,-2.5231738,1647,1154,-493,-124
OPTION,SPY,(14d) 207.0 Call,8/19/2016,14,207,Call,-1,-94.13982,2.6137045000000003,-1011.9999999999999,-1122,-110.00000000000011,-161.5
OPTION,SPY,(14d) 210.0 Call,8/19/2016,14,210,Call,-3,-273.18252,9.4508139,-1121.0001,-2492.9999999999995,-1371.9998999999996,-454.4999999999998
OPTION,SPY,(14d) 212.0 Call,8/19/2016,14,212,Call,-2,-174.41579199999998,7.276437400000001,-306,-1281,-975,-278.0000000000001
OPTION,SPY,(14d) 213.0 Call,8/19/2016,14,213,Call,2,168.24087,-8.00076,204,1097,893,262
OPTION,SPY,(14d) 214.0 Call,8/19/2016,14,214,Call,-1,-80.157787,4.3572605,-120,-459,-339,-119.5
OPTION,SPY,(14d) 215.0 Call,8/19/2016,14,215,Call,2,150.14782,-9.360873,136,745,609,213
OPTION,SPY,(14d) 216.0 Call,8/19/2016,14,216,Call,-1,-68.63734000000001,4.9054682000000005,-268,-291,-23,-92.5
OPTION,SPY,(14d) 217.0 Call,8/19/2016,14,217,Call,1,60.467552999999995,-5.0125398,46,216.5,170.5,76
OPTION,SPY,(14d) 220.0 Call,8/19/2016,14,220,Call,1,28.213614,-3.8038403,95,58.5,-36.5,26
OPTION,SPY,(14d) 186.0 Put,8/19/2016,14,186,Put,2,-0.79807332,-1.24373026,196,3,-193,-2
OPTION,SPY,(14d) 189.0 Put,8/19/2016,14,189,Put,-2,1.2865534,1.7997657999999999,-242,-5,237,1
OPTION,SPY,(14d) 197.0 Put,8/19/2016,14,197,Put,1,-1.2835358,-1.2788907999999999,148,4.5,-143.5,-1.5
OPTION,SPY,(14d) 200.0 Put,8/19/2016,14,200,Put,-1,1.7197520000000002,1.4649707,-193,-5.5,187.5,3
OPTION,SPY,(14d) 202.0 Put,8/19/2016,14,202,Put,-1,2.1578312,1.6349342,-99,-6.5,92.5,4
OPTION,SPY,(14d) 203.0 Put,8/19/2016,14,203,Put,2,-4.582714999999999,-3.2538039999999997,702,13,-689,-12
OPTION,SPY,(14d) 206.0 Put,8/19/2016,14,206,Put,-2,7.120842400000001,4.0870548,-902,-19,883,20
OPTION,SPY,(14d) 207.0 Put,8/19/2016,14,207,Put,-1,4.3117716999999995,2.2874903,-195,-11.5,183.5,12
OPTION,SPY,(14d) 209.0 Put,8/19/2016,14,209,Put,-1,6.0387857,2.6772234999999998,-212,-15.5,196.5,18
OPTION,SPY,(14d) 212.0 Put,8/19/2016,14,212,Put,1,-11.3726735,-3.6367666,299,28.500000000000004,-270.5,-36
OPTION,SPY,(42d) 216.0 Call,9/16/2016,42,216,Call,1,59.685004,-3.3145726,383,424,41,89.5
OPTION,SPY,(42d) 220.0 Call,9/16/2016,42,220,Call,1,37.94882,-2.7630383000000003,177,176,-1,53
OPTION,TLT,(14d) 148.0 Call,8/19/2016,14,148,Call,2,3.5382143999999998,-1.4951682000000002,144,5,-139,-4
OPTION,TLT,(14d) 133.0 Put,8/19/2016,14,133,Put,2,-15.541318,-3.8751130000000003,178,25,-153,10.999999999999998
OPTION,TLT,(14d) 135.0 Put,8/19/2016,14,135,Put,-2,37.444726,6.7004808,-282,-70,212,-28
OPTION,TSLA,(14d) 230.0 Call,8/19/2016,14,230,Call,-1,-51.00589,17.44851,-659,-482.49999999999994,176.50000000000006,122.50000000000006
OPTION,TSLA,(14d) 240.0 Call,8/19/2016,14,240,Call,1,22.992366999999998,-13.944417000000001,404,166,-238,-74
OPTION,TSLA,(14d) 202.5 Put,8/19/2016,14,202.5,Put,-1,6.0305554,8.434537,-188,-52,136,18
OPTION,WYNN,(0d) 100.0 Call,8/5/2016,0,100,Call,-1,0,0,-50,-1,49,23
OPTION,WYNN,(0d) 96.0 Put,8/5/2016,0,96,Put,-1,0,0,-106,-1,105,17
OPTION,YELP,(14d) 35.0 Call,8/19/2016,14,35,Call,-2,-73.91951,16.463546,-180,-280,-100,-25.00000000000003